label,radius_um,intersections
9,0.0,0
9,5.0,2
9,10.0,5
9,15.0,4
9,20.0,2
9,25.0,1
9,30.0,0
9,35.0,0
9,40.0,0
14,0.0,0
14,5.0,4
14,10.0,4
14,15.0,3
14,20.0,1
14,25.0,1
14,30.0,0
14,35.0,0
14,40.0,0
22,0.0,0
22,5.0,4
22,10.0,2
22,15.0,0
22,20.0,0
22,25.0,0
22,30.0,0
22,35.0,0
22,40.0,0
27,0.0,0
27,5.0,5
27,10.0,6
27,15.0,6
27,20.0,8
27,25.0,11
27,30.0,8
27,35.0,12
27,40.0,0
28,0.0,0
28,5.0,4
28,10.0,4
28,15.0,3
28,20.0,1
28,25.0,2
28,30.0,1
28,35.0,3
28,40.0,0
29,0.0,0
29,5.0,4
29,10.0,6
29,15.0,7
29,20.0,1
29,25.0,0
29,30.0,0
29,35.0,0
29,40.0,0
32,0.0,0
32,5.0,4
32,10.0,6
32,15.0,3
32,20.0,3
32,25.0,1
32,30.0,1
32,35.0,1
32,40.0,0
37,0.0,0
37,5.0,1
37,10.0,2
37,15.0,2
37,20.0,1
37,25.0,1
37,30.0,1
37,35.0,1
37,40.0,0
38,0.0,0
38,5.0,1
38,10.0,1
38,15.0,1
38,20.0,1
38,25.0,1
38,30.0,1
38,35.0,1
38,40.0,0
44,0.0,0
44,5.0,3
44,10.0,1
44,15.0,1
44,20.0,1
44,25.0,2
44,30.0,2
44,35.0,1
44,40.0,0
46,0.0,0
46,5.0,3
46,10.0,1
46,15.0,1
46,20.0,2
46,25.0,4
46,30.0,4
46,35.0,3
46,40.0,0
65,0.0,0
65,5.0,2
65,10.0,5
65,15.0,3
65,20.0,4
65,25.0,4
65,30.0,3
65,35.0,2
65,40.0,0
73,0.0,0
73,5.0,2
73,10.0,3
73,15.0,2
73,20.0,4
73,25.0,3
73,30.0,4
73,35.0,1
73,40.0,0
78,0.0,0
78,5.0,0
78,10.0,4
78,15.0,2
78,20.0,1
78,25.0,0
78,30.0,0
78,35.0,0
78,40.0,0
81,0.0,0
81,5.0,4
81,10.0,1
81,15.0,0
81,20.0,0
81,25.0,0
81,30.0,0
81,35.0,0
81,40.0,0
82,0.0,0
82,5.0,2
82,10.0,1
82,15.0,1
82,20.0,0
82,25.0,0
82,30.0,0
82,35.0,0
82,40.0,0
86,0.0,0
86,5.0,8
86,10.0,12
86,15.0,14
86,20.0,9
86,25.0,6
86,30.0,10
86,35.0,6
86,40.0,0
90,0.0,0
90,5.0,3
90,10.0,7
90,15.0,0
90,20.0,0
90,25.0,0
90,30.0,0
90,35.0,0
90,40.0,0
94,0.0,0
94,5.0,4
94,10.0,1
94,15.0,0
94,20.0,0
94,25.0,0
94,30.0,0
94,35.0,0
94,40.0,0
97,0.0,0
97,5.0,3
97,10.0,4
97,15.0,5
97,20.0,3
97,25.0,6
97,30.0,3
97,35.0,3
97,40.0,0
114,0.0,0
114,5.0,2
114,10.0,3
114,15.0,5
114,20.0,2
114,25.0,5
114,30.0,4
114,35.0,1
114,40.0,0
129,0.0,0
129,5.0,10
129,10.0,11
129,15.0,10
129,20.0,4
129,25.0,1
129,30.0,2
129,35.0,3
129,40.0,0
130,0.0,0
130,5.0,8
130,10.0,12
130,15.0,14
130,20.0,11
130,25.0,4
130,30.0,2
130,35.0,0
130,40.0,0
200,0.0,0
200,5.0,3
200,10.0,1
200,15.0,0
200,20.0,0
200,25.0,0
200,30.0,0
200,35.0,0
200,40.0,0
205,0.0,0
205,5.0,2
205,10.0,1
205,15.0,1
205,20.0,1
205,25.0,0
205,30.0,0
205,35.0,0
205,40.0,0
209,0.0,0
209,5.0,1
209,10.0,2
209,15.0,2
209,20.0,3
209,25.0,2
209,30.0,4
209,35.0,4
209,40.0,0
223,0.0,0
223,5.0,1
223,10.0,1
223,15.0,1
223,20.0,1
223,25.0,1
223,30.0,4
223,35.0,1
223,40.0,0
224,0.0,0
224,5.0,4
224,10.0,5
224,15.0,3
224,20.0,1
224,25.0,3
224,30.0,2
224,35.0,0
224,40.0,0
225,0.0,0
225,5.0,2
225,10.0,2
225,15.0,1
225,20.0,1
225,25.0,0
225,30.0,0
225,35.0,0
225,40.0,0
237,0.0,0
237,5.0,2
237,10.0,2
237,15.0,2
237,20.0,2
237,25.0,4
237,30.0,0
237,35.0,0
237,40.0,0
238,0.0,0
238,5.0,3
238,10.0,1
238,15.0,0
238,20.0,0
238,25.0,0
238,30.0,0
238,35.0,0
238,40.0,0
239,0.0,0
239,5.0,3
239,10.0,2
239,15.0,1
239,20.0,1
239,25.0,0
239,30.0,0
239,35.0,0
239,40.0,0
261,0.0,0
261,5.0,5
261,10.0,11
261,15.0,16
261,20.0,11
261,25.0,4
261,30.0,3
261,35.0,4
261,40.0,0
265,0.0,0
265,5.0,4
265,10.0,6
265,15.0,13
265,20.0,6
265,25.0,6
265,30.0,1
265,35.0,0
265,40.0,0
266,0.0,0
266,5.0,2
266,10.0,4
266,15.0,6
266,20.0,3
266,25.0,6
266,30.0,5
266,35.0,6
266,40.0,0
268,0.0,0
268,5.0,3
268,10.0,2
268,15.0,0
268,20.0,0
268,25.0,0
268,30.0,0
268,35.0,0
268,40.0,0
269,0.0,0
269,5.0,6
269,10.0,9
269,15.0,8
269,20.0,5
269,25.0,4
269,30.0,3
269,35.0,2
269,40.0,0
297,0.0,0
297,5.0,2
297,10.0,1
297,15.0,1
297,20.0,0
297,25.0,0
297,30.0,0
297,35.0,0
297,40.0,0
323,0.0,0
323,5.0,2
323,10.0,2
323,15.0,0
323,20.0,0
323,25.0,0
323,30.0,0
323,35.0,0
323,40.0,0
326,0.0,0
326,5.0,3
326,10.0,0
326,15.0,0
326,20.0,0
326,25.0,0
326,30.0,0
326,35.0,0
326,40.0,0
333,0.0,0
333,5.0,3
333,10.0,1
333,15.0,0
333,20.0,0
333,25.0,0
333,30.0,0
333,35.0,0
333,40.0,0
360,0.0,0
360,5.0,3
360,10.0,11
360,15.0,6
360,20.0,7
360,25.0,9
360,30.0,5
360,35.0,3
360,40.0,0
369,0.0,0
369,5.0,0
369,10.0,6
369,15.0,7
369,20.0,7
369,25.0,6
369,30.0,3
369,35.0,0
369,40.0,0
389,0.0,0
389,5.0,3
389,10.0,0
389,15.0,0
389,20.0,0
389,25.0,0
389,30.0,0
389,35.0,0
389,40.0,0
419,0.0,0
419,5.0,5
419,10.0,9
419,15.0,14
419,20.0,6
419,25.0,11
419,30.0,6
419,35.0,5
419,40.0,0
