label,critical_radius_um,peak_intersections,auc
9,10.0,5.0,70.0
14,5.0,4.0,65.0
22,5.0,4.0,30.0
27,35.0,12.0,280.0
28,5.0,4.0,90.0
29,15.0,7.0,90.0
32,10.0,6.0,95.0
37,10.0,2.0,45.0
38,5.0,1.0,35.0
44,5.0,3.0,55.0
46,25.0,4.0,90.0
65,10.0,5.0,115.0
73,20.0,4.0,95.0
78,10.0,4.0,35.0
81,5.0,4.0,25.0
82,5.0,2.0,20.0
86,15.0,14.0,325.0
90,10.0,7.0,50.0
94,5.0,4.0,25.0
97,25.0,6.0,135.0
114,15.0,5.0,110.0
129,10.0,11.0,205.0
130,15.0,14.0,255.0
200,5.0,3.0,20.0
205,5.0,2.0,25.0
209,30.0,4.0,90.0
223,30.0,4.0,50.0
224,10.0,5.0,90.0
225,5.0,2.0,30.0
237,25.0,4.0,60.0
238,5.0,3.0,20.0
239,5.0,3.0,35.0
261,15.0,16.0,270.0
265,15.0,13.0,180.0
266,15.0,6.0,160.0
268,5.0,3.0,25.0
269,10.0,9.0,185.0
297,5.0,2.0,20.0
323,5.0,2.0,20.0
326,5.0,3.0,15.0
333,5.0,3.0,20.0
360,10.0,11.0,220.0
369,15.0,7.0,145.0
389,5.0,3.0,15.0
419,15.0,14.0,280.0
