label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
36,17.046,45,37.020275520000006,75.53976744186046,103.02479069767443,25094.00722496,72.216796875,3,18.393145071696214,3,1,6.131048357232071,1.1065422892681238,1.1272422390982166,0.02849884503315493,3.0,3.0,6.845320487134643,4.90536434099425,7.713868438421178,2.8758188002602862,0.46905824790437733,1
38,15.909600000000001,42,11.04868688,76.31098181818183,99.26035844155844,7493.44902512,73.92578125,5,18.8257860459655,4,2,3.7651572091931,1.1768443578327505,1.6503773473894032,0.2670766619057728,2.5,2.0,2.900416389707714,1.8940000000000001,3.8149204871346427,2.709504686323902,0.7196259108937892,1
59,28.788800000000002,76,41.18146928000001,135.13393031358885,36.87822578397213,7571.937748800001,101.103515625,7,32.01879424081936,5,3,4.574113462974195,1.0891957248636455,1.1506231135902159,0.03898813375520395,2.3333333333333335,1.6666666666666667,4.794416389707714,3.01136434099425,6.466520487134643,2.291984073462869,0.5010772233823355,1
61,21.9704,58,37.881212160000004,137.21886515151516,87.37366363636364,3648.3625014400004,80.87109375,5,24.72968194853857,4,2,4.945936389707714,1.0813517625214861,1.1385005293577075,0.05159884351613416,2.5,2.0,3.658016389707714,3.0304,8.2955286819885,3.4603381509009137,0.69963256262287,1
97,35.986000000000004,95,52.51713504000001,207.08250819672134,148.27639562841532,12941.025614720003,53.291015625,5,43.60930896877335,4,2,8.72186179375467,1.0733712985400365,1.1229934671104356,0.04915694737933908,2.5,2.0,7.916728681988501,6.336536876842358,13.208777851111638,5.5985071663795365,0.6418935886359004,1
98,29.546400000000002,78,66.43561072,208.30891058315336,140.56261684665228,1133.5665760000002,81.86328125,5,32.93329833824629,4,2,6.586659667649258,1.0781086784037135,1.1606709103009207,0.05134390904029096,2.5,2.0,5.081304097426929,3.9718245845615714,8.2955286819885,4.496071939927325,0.6826027405074578,1
102,63.638400000000004,168,44.62521584000001,212.03421350482319,111.36598199356915,918.3324160000001,94.76171875,11,73.30146223532344,7,5,6.663769294120313,1.1238332154780488,1.2509567387646225,0.07448807083924368,2.2,1.4,6.9103122922807865,4.0827725358481075,8.47146843842118,3.9382794938920527,0.5909987756279228,1
105,26.1372,69,46.77755744000001,214.03826748466258,98.22191042944786,295.87522528,121.6171875,7,29.0533860459655,5,3,4.150483720852214,1.0948182415203944,1.136700651287379,0.026439114417342834,2.3333333333333335,1.6666666666666667,4.637512292280786,3.3901643409942497,5.016312292280786,1.4345804025318603,0.34564173696778155,1
106,77.65400000000001,205,61.26999088000001,214.33515316159253,88.63210304449649,2240.73109504,106.083984375,16,92.87369745041207,8,8,5.804606090650754,1.1068575615426182,1.271527135891385,0.0659294261207598,2.0,1.0,4.761920487134644,3.279216389707714,9.210032779415428,3.3239965837195973,0.5726480887434248,1
111,19.318800000000003,51,45.34266304000001,226.01773291139244,88.97724303797469,2190.50979104,85.166015625,3,21.607369656257788,3,1,7.20245655208593,1.1283433515464398,1.148198690631745,0.031217610857175893,3.0,3.0,7.694832779415429,6.544972535848108,8.106128681988501,1.6183430645451375,0.2246932074968843,1
