label,radius_um,intersections
1,0.0,0
1,5.0,4
1,10.0,1
1,15.0,0
1,20.0,0
1,25.0,0
1,30.0,0
1,35.0,0
1,40.0,0
3,0.0,0
3,5.0,6
3,10.0,2
3,15.0,0
3,20.0,0
3,25.0,0
3,30.0,0
3,35.0,0
3,40.0,0
13,0.0,0
13,5.0,4
13,10.0,2
13,15.0,0
13,20.0,0
13,25.0,0
13,30.0,0
13,35.0,0
13,40.0,0
22,0.0,0
22,5.0,4
22,10.0,6
22,15.0,6
22,20.0,2
22,25.0,2
22,30.0,1
22,35.0,0
22,40.0,0
27,0.0,0
27,5.0,3
27,10.0,2
27,15.0,1
27,20.0,0
27,25.0,0
27,30.0,0
27,35.0,0
27,40.0,0
29,0.0,0
29,5.0,5
29,10.0,1
29,15.0,0
29,20.0,0
29,25.0,0
29,30.0,0
29,35.0,0
29,40.0,0
33,0.0,0
33,5.0,5
33,10.0,6
33,15.0,2
33,20.0,2
33,25.0,1
33,30.0,2
33,35.0,0
33,40.0,0
36,0.0,0
36,5.0,5
36,10.0,4
36,15.0,1
36,20.0,1
36,25.0,0
36,30.0,0
36,35.0,0
36,40.0,0
39,0.0,0
39,5.0,3
39,10.0,2
39,15.0,1
39,20.0,0
39,25.0,0
39,30.0,0
39,35.0,0
39,40.0,0
50,0.0,0
50,5.0,6
50,10.0,2
50,15.0,2
50,20.0,2
50,25.0,0
50,30.0,0
50,35.0,0
50,40.0,0
76,0.0,0
76,5.0,3
76,10.0,5
76,15.0,5
76,20.0,2
76,25.0,1
76,30.0,0
76,35.0,0
76,40.0,0
93,0.0,0
93,5.0,5
93,10.0,0
93,15.0,0
93,20.0,0
93,25.0,0
93,30.0,0
93,35.0,0
93,40.0,0
101,0.0,0
101,5.0,4
101,10.0,2
101,15.0,2
101,20.0,2
101,25.0,1
101,30.0,0
101,35.0,0
101,40.0,0
106,0.0,0
106,5.0,2
106,10.0,0
106,15.0,0
106,20.0,0
106,25.0,0
106,30.0,0
106,35.0,0
106,40.0,0
110,0.0,0
110,5.0,5
110,10.0,2
110,15.0,1
110,20.0,0
110,25.0,0
110,30.0,0
110,35.0,0
110,40.0,0
114,0.0,0
114,5.0,5
114,10.0,4
114,15.0,1
114,20.0,0
114,25.0,0
114,30.0,0
114,35.0,0
114,40.0,0
116,0.0,0
116,5.0,5
116,10.0,0
116,15.0,0
116,20.0,0
116,25.0,0
116,30.0,0
116,35.0,0
116,40.0,0
120,0.0,0
120,5.0,4
120,10.0,1
120,15.0,0
120,20.0,0
120,25.0,0
120,30.0,0
120,35.0,0
120,40.0,0
127,0.0,0
127,5.0,5
127,10.0,2
127,15.0,0
127,20.0,0
127,25.0,0
127,30.0,0
127,35.0,0
127,40.0,0
131,0.0,0
131,5.0,4
131,10.0,2
131,15.0,0
131,20.0,0
131,25.0,0
131,30.0,0
131,35.0,0
131,40.0,0
141,0.0,0
141,5.0,4
141,10.0,6
141,15.0,5
141,20.0,4
141,25.0,1
141,30.0,0
141,35.0,0
141,40.0,0
158,0.0,0
158,5.0,4
158,10.0,3
158,15.0,2
158,20.0,0
158,25.0,0
158,30.0,0
158,35.0,0
158,40.0,0
164,0.0,0
164,5.0,3
164,10.0,6
164,15.0,3
164,20.0,2
164,25.0,1
164,30.0,0
164,35.0,0
164,40.0,0
199,0.0,0
199,5.0,2
199,10.0,0
199,15.0,0
199,20.0,0
199,25.0,0
199,30.0,0
199,35.0,0
199,40.0,0
200,0.0,0
200,5.0,4
200,10.0,2
200,15.0,1
200,20.0,0
200,25.0,0
200,30.0,0
200,35.0,0
200,40.0,0
204,0.0,0
204,5.0,2
204,10.0,1
204,15.0,0
204,20.0,0
204,25.0,0
204,30.0,0
204,35.0,0
204,40.0,0
206,0.0,0
206,5.0,3
206,10.0,1
206,15.0,1
206,20.0,0
206,25.0,0
206,30.0,0
206,35.0,0
206,40.0,0
210,0.0,0
210,5.0,4
210,10.0,0
210,15.0,0
210,20.0,0
210,25.0,0
210,30.0,0
210,35.0,0
210,40.0,0
212,0.0,0
212,5.0,2
212,10.0,2
212,15.0,2
212,20.0,0
212,25.0,0
212,30.0,0
212,35.0,0
212,40.0,0
229,0.0,0
229,5.0,4
229,10.0,4
229,15.0,2
229,20.0,0
229,25.0,0
229,30.0,0
229,35.0,0
229,40.0,0
236,0.0,0
236,5.0,3
236,10.0,2
236,15.0,2
236,20.0,0
236,25.0,0
236,30.0,0
236,35.0,0
236,40.0,0
