label,critical_radius_um,peak_intersections,auc
1,5.0,4.0,25.0
3,5.0,6.0,40.0
13,5.0,4.0,30.0
22,10.0,6.0,105.0
27,5.0,3.0,30.0
29,5.0,5.0,30.0
33,10.0,6.0,90.0
36,5.0,5.0,55.0
39,5.0,3.0,30.0
50,5.0,6.0,60.0
76,10.0,5.0,80.0
93,5.0,5.0,25.0
101,5.0,4.0,55.0
106,5.0,2.0,10.0
110,5.0,5.0,40.0
114,5.0,5.0,50.0
116,5.0,5.0,25.0
120,5.0,4.0,25.0
127,5.0,5.0,35.0
131,5.0,4.0,30.0
141,10.0,6.0,100.0
158,5.0,4.0,45.0
164,10.0,6.0,75.0
199,5.0,2.0,10.0
200,5.0,4.0,35.0
204,5.0,2.0,15.0
206,5.0,3.0,25.0
210,5.0,4.0,20.0
212,5.0,2.0,30.0
229,5.0,4.0,50.0
236,5.0,3.0,35.0
