label,radius_um,intersections
6,0.0,0
6,5.0,1
6,10.0,1
6,15.0,2
6,20.0,1
6,25.0,0
6,30.0,0
6,35.0,0
6,40.0,0
18,0.0,0
18,5.0,2
18,10.0,2
18,15.0,1
18,20.0,0
18,25.0,0
18,30.0,0
18,35.0,0
18,40.0,0
21,0.0,0
21,5.0,2
21,10.0,1
21,15.0,0
21,20.0,0
21,25.0,0
21,30.0,0
21,35.0,0
21,40.0,0
26,0.0,0
26,5.0,4
26,10.0,4
26,15.0,2
26,20.0,1
26,25.0,0
26,30.0,0
26,35.0,0
26,40.0,0
38,0.0,0
38,5.0,1
38,10.0,1
38,15.0,1
38,20.0,2
38,25.0,1
38,30.0,0
38,35.0,0
38,40.0,0
44,0.0,0
44,5.0,3
44,10.0,1
44,15.0,1
44,20.0,0
44,25.0,0
44,30.0,0
44,35.0,0
44,40.0,0
58,0.0,0
58,5.0,5
58,10.0,0
58,15.0,0
58,20.0,0
58,25.0,0
58,30.0,0
58,35.0,0
58,40.0,0
62,0.0,0
62,5.0,2
62,10.0,3
62,15.0,2
62,20.0,3
62,25.0,4
62,30.0,3
62,35.0,2
62,40.0,0
68,0.0,0
68,5.0,3
68,10.0,2
68,15.0,0
68,20.0,0
68,25.0,0
68,30.0,0
68,35.0,0
68,40.0,0
87,0.0,0
87,5.0,3
87,10.0,5
87,15.0,1
87,20.0,1
87,25.0,0
87,30.0,0
87,35.0,0
87,40.0,0
90,0.0,0
90,5.0,6
90,10.0,3
90,15.0,2
90,20.0,0
90,25.0,0
90,30.0,0
90,35.0,0
90,40.0,0
102,0.0,0
102,5.0,1
102,10.0,2
102,15.0,0
102,20.0,0
102,25.0,0
102,30.0,0
102,35.0,0
102,40.0,0
107,0.0,0
107,5.0,1
107,10.0,0
107,15.0,0
107,20.0,0
107,25.0,0
107,30.0,0
107,35.0,0
107,40.0,0
134,0.0,0
134,5.0,1
134,10.0,1
134,15.0,1
134,20.0,0
134,25.0,0
134,30.0,0
134,35.0,0
134,40.0,0
144,0.0,0
144,5.0,4
144,10.0,2
144,15.0,2
144,20.0,2
144,25.0,0
144,30.0,0
144,35.0,0
144,40.0,0
150,0.0,0
150,5.0,4
150,10.0,0
150,15.0,0
150,20.0,0
150,25.0,0
150,30.0,0
150,35.0,0
150,40.0,0
161,0.0,0
161,5.0,1
161,10.0,0
161,15.0,0
161,20.0,0
161,25.0,0
161,30.0,0
161,35.0,0
161,40.0,0
167,0.0,0
167,5.0,2
167,10.0,0
167,15.0,0
167,20.0,0
167,25.0,0
167,30.0,0
167,35.0,0
167,40.0,0
173,0.0,0
173,5.0,3
173,10.0,5
173,15.0,4
173,20.0,8
173,25.0,3
173,30.0,3
173,35.0,4
173,40.0,0
214,0.0,0
214,5.0,1
214,10.0,1
214,15.0,1
214,20.0,0
214,25.0,0
214,30.0,0
214,35.0,0
214,40.0,0
218,0.0,0
218,5.0,2
218,10.0,3
218,15.0,2
218,20.0,3
218,25.0,2
218,30.0,1
218,35.0,0
218,40.0,0
223,0.0,0
223,5.0,3
223,10.0,2
223,15.0,1
223,20.0,0
223,25.0,0
223,30.0,0
223,35.0,0
223,40.0,0
226,0.0,0
226,5.0,7
226,10.0,2
226,15.0,2
226,20.0,1
226,25.0,1
226,30.0,1
226,35.0,0
226,40.0,0
235,0.0,0
235,5.0,1
235,10.0,0
235,15.0,0
235,20.0,0
235,25.0,0
235,30.0,0
235,35.0,0
235,40.0,0
236,0.0,0
236,5.0,0
236,10.0,0
236,15.0,0
236,20.0,0
236,25.0,0
236,30.0,0
236,35.0,0
236,40.0,0
241,0.0,0
241,5.0,9
241,10.0,8
241,15.0,9
241,20.0,11
241,25.0,12
241,30.0,6
241,35.0,3
241,40.0,0
255,0.0,0
255,5.0,5
255,10.0,8
255,15.0,5
255,20.0,3
255,25.0,2
255,30.0,2
255,35.0,1
255,40.0,0
256,0.0,0
256,5.0,6
256,10.0,5
256,15.0,4
256,20.0,0
256,25.0,0
256,30.0,0
256,35.0,0
256,40.0,0
276,0.0,0
276,5.0,6
276,10.0,6
276,15.0,16
276,20.0,12
276,25.0,10
276,30.0,7
276,35.0,4
276,40.0,0
279,0.0,0
279,5.0,5
279,10.0,6
279,15.0,9
279,20.0,13
279,25.0,5
279,30.0,3
279,35.0,1
279,40.0,0
291,0.0,0
291,5.0,1
291,10.0,2
291,15.0,2
291,20.0,2
291,25.0,1
291,30.0,2
291,35.0,0
291,40.0,0
300,0.0,0
300,5.0,7
300,10.0,7
300,15.0,10
300,20.0,6
300,25.0,4
300,30.0,2
300,35.0,2
300,40.0,0
301,0.0,0
301,5.0,6
301,10.0,4
301,15.0,5
301,20.0,4
301,25.0,2
301,30.0,0
301,35.0,0
301,40.0,0
304,0.0,0
304,5.0,3
304,10.0,2
304,15.0,0
304,20.0,0
304,25.0,0
304,30.0,0
304,35.0,0
304,40.0,0
308,0.0,0
308,5.0,2
308,10.0,5
308,15.0,3
308,20.0,1
308,25.0,0
308,30.0,0
308,35.0,0
308,40.0,0
313,0.0,0
313,5.0,2
313,10.0,1
313,15.0,1
313,20.0,1
313,25.0,0
313,30.0,0
313,35.0,0
313,40.0,0
321,0.0,0
321,5.0,5
321,10.0,4
321,15.0,1
321,20.0,0
321,25.0,0
321,30.0,0
321,35.0,0
321,40.0,0
324,0.0,0
324,5.0,1
324,10.0,3
324,15.0,1
324,20.0,0
324,25.0,0
324,30.0,0
324,35.0,0
324,40.0,0
330,0.0,0
330,5.0,5
330,10.0,7
330,15.0,4
330,20.0,1
330,25.0,0
330,30.0,0
330,35.0,0
330,40.0,0
