label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
6,43.9408,116,40.89449040000001,14.393070877192985,276.7592547368421,3921.4229057600005,67.236328125,8,49.145555702223284,7,3,6.1431944627779105,1.0757314069030128,1.1464084845302502,0.04100878750720941,2.6666666666666665,2.3333333333333335,5.754876633275035,2.988386267924054,8.697306755058698,4.494659205209939,0.7316485311418068,2
18,45.8348,121,20.088521600000004,32.371165714285716,274.5190657142858,2207.44154496,80.185546875,12,53.05238848163871,6,6,4.421032373469893,1.081643223001839,1.3124236404787073,0.08391171939474672,2.0,1.0,3.8149204871346427,2.909934219210589,5.506060243567322,2.4945861153325795,0.564254206845963,1
21,20.0764,53,61.26999088000001,38.57816299765808,272.9932646370023,4025.7397286400005,86.162109375,5,23.30639424081936,4,2,4.661278848163872,1.0596016212749788,1.082842712474616,0.02726544122616431,2.5,2.0,5.460104097426929,3.0573204871346427,5.6439286819885,1.5639713246460407,0.3355240858980376,1
26,60.229200000000006,159,22.671331520000006,48.4072835443038,259.4012810126583,723.1867776,118.037109375,16,68.85892535848107,8,8,4.303682834905067,1.0894961132211485,1.4613898082920325,0.11199147359714332,2.0,1.0,3.833956146140393,2.0251383166375176,6.6626506089183035,2.9522148284345575,0.6859740695784055,1
38,43.9408,116,92.55068880000002,77.06730046511629,253.21399875968993,922.2066308800001,89.80078125,13,51.09339667649257,8,6,3.9302612828071206,1.0730357126598333,1.1357378590141731,0.02921937577970263,2.1666666666666665,1.3333333333333333,3.8799122922807854,2.207808194853857,4.350624584561571,2.835683317145199,0.7214999495198603,1
44,29.1676,77,16.644775040000003,81.25586551724139,252.51265172413792,833.81713584,72.93359375,4,32.4625860459655,2,2,8.115646511491375,1.1522270695712111,1.2381470803292898,0.09031714891898175,2.0,1.0,7.7598245845615725,7.136150608918305,8.739320487134643,1.3130061871019785,0.1617870104671049,1
58,32.955600000000004,87,33.002571200000006,103.1801791304348,122.72131826086958,29632.578212160006,68.232421875,11,37.91153931251557,7,5,3.446503573865052,1.077443707304006,1.1906827943789877,0.04392053654453997,2.2,1.4,2.3647122922807853,1.7830520487134645,5.108224584561572,2.166391764912753,0.6285766773435466,1
62,131.82240000000002,348,23.532268160000005,114.83183414634146,200.33438536585368,671.81755808,58.05078125,29,155.08227773719696,10,16,5.347664749558516,1.1232448115824354,1.8252247739506047,0.17757500175436924,1.8125,0.625,4.323704097426929,1.9859122922807855,6.217704097426929,4.61455688642642,0.8629106540022692,1
68,38.637600000000006,102,24.106225920000004,118.59822142857143,201.04584523809524,213.22530784,88.80859375,8,45.384476189357926,4,4,5.673059523669741,1.166477721640156,1.8257776205041865,0.2711249477141195,2.0,1.0,6.0227286819885,1.0809260243567322,10.078580730701963,4.2856241939784345,0.7554343782393783,1
87,80.68440000000001,213,20.949458240000002,142.1641589041096,266.7141178082192,1903.9613793600001,44.326171875,14,94.621944183862,4,8,6.758710298847285,1.1273242299438968,1.5850998008215347,0.14360249802508662,1.75,0.5,5.6439286819885,3.9421163897077145,9.540088925555821,3.892135818438726,0.5758696032736511,1
