label,critical_radius_um,peak_intersections,auc
107,5.0,4.0,30.0
123,5.0,2.0,25.0
124,5.0,5.0,30.0
125,15.0,4.0,50.0
127,10.0,5.0,90.0
128,5.0,2.0,15.0
133,5.0,2.0,20.0
134,5.0,5.0,50.0
136,5.0,2.0,20.0
137,5.0,1.0,5.0
138,5.0,2.0,15.0
139,5.0,1.0,5.0
140,5.0,2.0,10.0
142,5.0,3.0,20.0
143,5.0,4.0,30.0
144,5.0,3.0,25.0
145,5.0,2.0,10.0
146,5.0,6.0,45.0
147,0.0,0.0,0.0
148,5.0,4.0,25.0
153,5.0,3.0,20.0
177,5.0,1.0,10.0
179,5.0,6.0,50.0
202,5.0,2.0,10.0
204,5.0,4.0,30.0
205,10.0,4.0,55.0
207,5.0,3.0,15.0
213,5.0,4.0,20.0
214,5.0,3.0,30.0
215,5.0,2.0,15.0
216,5.0,3.0,20.0
236,10.0,6.0,60.0
237,5.0,2.0,10.0
