label,radius_um,intersections
3,0.0,0
3,5.0,2
3,10.0,1
3,15.0,2
3,20.0,4
3,25.0,2
3,30.0,0
3,35.0,0
3,40.0,0
11,0.0,0
11,5.0,4
11,10.0,6
11,15.0,3
11,20.0,2
11,25.0,0
11,30.0,0
11,35.0,0
11,40.0,0
16,0.0,0
16,5.0,3
16,10.0,6
16,15.0,8
16,20.0,6
16,25.0,4
16,30.0,3
16,35.0,1
16,40.0,0
22,0.0,0
22,5.0,4
22,10.0,6
22,15.0,6
22,20.0,3
22,25.0,0
22,30.0,0
22,35.0,0
22,40.0,0
33,0.0,0
33,5.0,5
33,10.0,8
33,15.0,10
33,20.0,13
33,25.0,5
33,30.0,0
33,35.0,0
33,40.0,0
53,0.0,0
53,5.0,5
53,10.0,6
53,15.0,6
53,20.0,7
53,25.0,5
53,30.0,4
53,35.0,7
53,40.0,0
66,0.0,0
66,5.0,5
66,10.0,5
66,15.0,4
66,20.0,3
66,25.0,4
66,30.0,2
66,35.0,0
66,40.0,0
76,0.0,0
76,5.0,1
76,10.0,4
76,15.0,2
76,20.0,2
76,25.0,3
76,30.0,3
76,35.0,1
76,40.0,0
84,0.0,0
84,5.0,3
84,10.0,2
84,15.0,5
84,20.0,1
84,25.0,0
84,30.0,0
84,35.0,0
84,40.0,0
85,0.0,0
85,5.0,4
85,10.0,14
85,15.0,10
85,20.0,11
85,25.0,6
85,30.0,3
85,35.0,2
85,40.0,0
101,0.0,0
101,5.0,6
101,10.0,12
101,15.0,10
101,20.0,6
101,25.0,4
101,30.0,4
101,35.0,1
101,40.0,0
128,0.0,0
128,5.0,3
128,10.0,3
128,15.0,4
128,20.0,4
128,25.0,2
128,30.0,0
128,35.0,0
128,40.0,0
251,0.0,0
251,5.0,5
251,10.0,9
251,15.0,10
251,20.0,5
251,25.0,3
251,30.0,2
251,35.0,0
251,40.0,0
256,0.0,0
256,5.0,2
256,10.0,1
256,15.0,2
256,20.0,3
256,25.0,1
256,30.0,1
256,35.0,0
256,40.0,0
259,0.0,0
259,5.0,3
259,10.0,3
259,15.0,4
259,20.0,10
259,25.0,8
259,30.0,8
259,35.0,2
259,40.0,0
265,0.0,0
265,5.0,6
265,10.0,8
265,15.0,13
265,20.0,6
265,25.0,7
265,30.0,9
265,35.0,5
265,40.0,0
282,0.0,0
282,5.0,7
282,10.0,8
282,15.0,15
282,20.0,16
282,25.0,18
282,30.0,14
282,35.0,8
282,40.0,0
284,0.0,0
284,5.0,3
284,10.0,6
284,15.0,2
284,20.0,0
284,25.0,0
284,30.0,0
284,35.0,0
284,40.0,0
298,0.0,0
298,5.0,3
298,10.0,6
298,15.0,8
298,20.0,6
298,25.0,2
298,30.0,1
298,35.0,0
298,40.0,0
325,0.0,0
325,5.0,5
325,10.0,8
325,15.0,9
325,20.0,7
325,25.0,2
325,30.0,1
325,35.0,0
325,40.0,0
332,0.0,0
332,5.0,4
332,10.0,3
332,15.0,0
332,20.0,0
332,25.0,0
332,30.0,0
332,35.0,0
332,40.0,0
349,0.0,0
349,5.0,5
349,10.0,5
349,15.0,4
349,20.0,3
349,25.0,0
349,30.0,0
349,35.0,0
349,40.0,0
