label,radius_um,intersections
49,0.0,0
49,5.0,6
49,10.0,11
49,15.0,4
49,20.0,1
49,25.0,0
49,30.0,0
49,35.0,0
49,40.0,0
61,0.0,0
61,5.0,6
61,10.0,2
61,15.0,0
61,20.0,0
61,25.0,0
61,30.0,0
61,35.0,0
61,40.0,0
65,0.0,0
65,5.0,5
65,10.0,3
65,15.0,0
65,20.0,0
65,25.0,0
65,30.0,0
65,35.0,0
65,40.0,0
71,0.0,0
71,5.0,11
71,10.0,2
71,15.0,0
71,20.0,0
71,25.0,0
71,30.0,0
71,35.0,0
71,40.0,0
79,0.0,0
79,5.0,6
79,10.0,7
79,15.0,4
79,20.0,1
79,25.0,0
79,30.0,0
79,35.0,0
79,40.0,0
108,0.0,0
108,5.0,4
108,10.0,7
108,15.0,3
108,20.0,0
108,25.0,0
108,30.0,0
108,35.0,0
108,40.0,0
114,0.0,0
114,5.0,3
114,10.0,5
114,15.0,3
114,20.0,3
114,25.0,1
114,30.0,1
114,35.0,0
114,40.0,0
118,0.0,0
118,5.0,6
118,10.0,3
118,15.0,2
118,20.0,1
118,25.0,1
118,30.0,0
118,35.0,0
118,40.0,0
121,0.0,0
121,5.0,4
121,10.0,3
121,15.0,1
121,20.0,0
121,25.0,0
121,30.0,0
121,35.0,0
121,40.0,0
126,0.0,0
126,5.0,4
126,10.0,6
126,15.0,0
126,20.0,0
126,25.0,0
126,30.0,0
126,35.0,0
126,40.0,0
133,0.0,0
133,5.0,2
133,10.0,3
133,15.0,0
133,20.0,0
133,25.0,0
133,30.0,0
133,35.0,0
133,40.0,0
138,0.0,0
138,5.0,3
138,10.0,3
138,15.0,0
138,20.0,0
138,25.0,0
138,30.0,0
138,35.0,0
138,40.0,0
141,0.0,0
141,5.0,3
141,10.0,1
141,15.0,1
141,20.0,0
141,25.0,0
141,30.0,0
141,35.0,0
141,40.0,0
144,0.0,0
144,5.0,2
144,10.0,2
144,15.0,0
144,20.0,0
144,25.0,0
144,30.0,0
144,35.0,0
144,40.0,0
149,0.0,0
149,5.0,3
149,10.0,1
149,15.0,0
149,20.0,0
149,25.0,0
149,30.0,0
149,35.0,0
149,40.0,0
152,0.0,0
152,5.0,2
152,10.0,2
152,15.0,0
152,20.0,0
152,25.0,0
152,30.0,0
152,35.0,0
152,40.0,0
153,0.0,0
153,5.0,1
153,10.0,1
153,15.0,0
153,20.0,0
153,25.0,0
153,30.0,0
153,35.0,0
153,40.0,0
159,0.0,0
159,5.0,5
159,10.0,9
159,15.0,5
159,20.0,2
159,25.0,1
159,30.0,1
159,35.0,1
159,40.0,0
180,0.0,0
180,5.0,4
180,10.0,4
180,15.0,1
180,20.0,0
180,25.0,0
180,30.0,0
180,35.0,0
180,40.0,0
191,0.0,0
191,5.0,3
191,10.0,4
191,15.0,1
191,20.0,0
191,25.0,0
191,30.0,0
191,35.0,0
191,40.0,0
204,0.0,0
204,5.0,5
204,10.0,3
204,15.0,0
204,20.0,0
204,25.0,0
204,30.0,0
204,35.0,0
204,40.0,0
231,0.0,0
231,5.0,3
231,10.0,5
231,15.0,1
231,20.0,0
231,25.0,0
231,30.0,0
231,35.0,0
231,40.0,0
243,0.0,0
243,5.0,3
243,10.0,1
243,15.0,0
243,20.0,0
243,25.0,0
243,30.0,0
243,35.0,0
243,40.0,0
245,0.0,0
245,5.0,4
245,10.0,3
245,15.0,5
245,20.0,4
245,25.0,5
245,30.0,1
245,35.0,1
245,40.0,0
246,0.0,0
246,5.0,4
246,10.0,6
246,15.0,7
246,20.0,2
246,25.0,1
246,30.0,0
246,35.0,0
246,40.0,0
247,0.0,0
247,5.0,4
247,10.0,4
247,15.0,3
247,20.0,0
247,25.0,0
247,30.0,0
247,35.0,0
247,40.0,0
251,0.0,0
251,5.0,3
251,10.0,2
251,15.0,1
251,20.0,0
251,25.0,0
251,30.0,0
251,35.0,0
251,40.0,0
260,0.0,0
260,5.0,4
260,10.0,2
260,15.0,0
260,20.0,0
260,25.0,0
260,30.0,0
260,35.0,0
260,40.0,0
264,0.0,0
264,5.0,4
264,10.0,5
264,15.0,3
264,20.0,1
264,25.0,0
264,30.0,0
264,35.0,0
264,40.0,0
265,0.0,0
265,5.0,4
265,10.0,2
265,15.0,1
265,20.0,1
265,25.0,0
265,30.0,0
265,35.0,0
265,40.0,0
274,0.0,0
274,5.0,4
274,10.0,4
274,15.0,1
274,20.0,0
274,25.0,0
274,30.0,0
274,35.0,0
274,40.0,0
