label,critical_radius_um,peak_intersections,auc
49,10.0,11.0,110.0
61,5.0,6.0,40.0
65,5.0,5.0,40.0
71,5.0,11.0,65.0
79,10.0,7.0,90.0
108,10.0,7.0,70.0
114,10.0,5.0,80.0
118,5.0,6.0,65.0
121,5.0,4.0,40.0
126,10.0,6.0,50.0
133,10.0,3.0,25.0
138,5.0,3.0,30.0
141,5.0,3.0,25.0
144,5.0,2.0,20.0
149,5.0,3.0,20.0
152,5.0,2.0,20.0
153,5.0,1.0,10.0
159,10.0,9.0,120.0
180,5.0,4.0,45.0
191,10.0,4.0,40.0
204,5.0,5.0,40.0
231,10.0,5.0,45.0
243,5.0,3.0,20.0
245,15.0,5.0,115.0
246,15.0,7.0,100.0
247,5.0,4.0,55.0
251,5.0,3.0,30.0
260,5.0,4.0,30.0
264,10.0,5.0,65.0
265,5.0,4.0,40.0
274,5.0,4.0,45.0
