label,radius_um,intersections
39,0.0,0
39,5.0,3
39,10.0,3
39,15.0,3
39,20.0,1
39,25.0,1
39,30.0,1
39,35.0,0
39,40.0,0
42,0.0,0
42,5.0,7
42,10.0,16
42,15.0,8
42,20.0,5
42,25.0,3
42,30.0,0
42,35.0,0
42,40.0,0
43,0.0,0
43,5.0,3
43,10.0,3
43,15.0,2
43,20.0,0
43,25.0,0
43,30.0,0
43,35.0,0
43,40.0,0
45,0.0,0
45,5.0,5
45,10.0,8
45,15.0,8
45,20.0,7
45,25.0,1
45,30.0,1
45,35.0,0
45,40.0,0
53,0.0,0
53,5.0,3
53,10.0,2
53,15.0,0
53,20.0,0
53,25.0,0
53,30.0,0
53,35.0,0
53,40.0,0
57,0.0,0
57,5.0,4
57,10.0,4
57,15.0,6
57,20.0,4
57,25.0,0
57,30.0,0
57,35.0,0
57,40.0,0
80,0.0,0
80,5.0,3
80,10.0,2
80,15.0,5
80,20.0,3
80,25.0,1
80,30.0,0
80,35.0,0
80,40.0,0
81,0.0,0
81,5.0,4
81,10.0,5
81,15.0,4
81,20.0,4
81,25.0,1
81,30.0,1
81,35.0,0
81,40.0,0
87,0.0,0
87,5.0,3
87,10.0,4
87,15.0,6
87,20.0,8
87,25.0,14
87,30.0,3
87,35.0,1
87,40.0,0
97,0.0,0
97,5.0,5
97,10.0,5
97,15.0,4
97,20.0,4
97,25.0,0
97,30.0,0
97,35.0,0
97,40.0,0
100,0.0,0
100,5.0,1
100,10.0,1
100,15.0,0
100,20.0,0
100,25.0,0
100,30.0,0
100,35.0,0
100,40.0,0
103,0.0,0
103,5.0,4
103,10.0,4
103,15.0,2
103,20.0,1
103,25.0,0
103,30.0,0
103,35.0,0
103,40.0,0
105,0.0,0
105,5.0,3
105,10.0,0
105,15.0,0
105,20.0,0
105,25.0,0
105,30.0,0
105,35.0,0
105,40.0,0
110,0.0,0
110,5.0,4
110,10.0,2
110,15.0,2
110,20.0,1
110,25.0,0
110,30.0,0
110,35.0,0
110,40.0,0
138,0.0,0
138,5.0,3
138,10.0,3
138,15.0,4
138,20.0,2
138,25.0,0
138,30.0,0
138,35.0,0
138,40.0,0
150,0.0,0
150,5.0,3
150,10.0,4
150,15.0,3
150,20.0,0
150,25.0,0
150,30.0,0
150,35.0,0
150,40.0,0
180,0.0,0
180,5.0,6
180,10.0,11
180,15.0,12
180,20.0,17
180,25.0,9
180,30.0,11
180,35.0,7
180,40.0,0
184,0.0,0
184,5.0,4
184,10.0,7
184,15.0,2
184,20.0,1
184,25.0,0
184,30.0,0
184,35.0,0
184,40.0,0
187,0.0,0
187,5.0,4
187,10.0,2
187,15.0,3
187,20.0,1
187,25.0,0
187,30.0,0
187,35.0,0
187,40.0,0
188,0.0,0
188,5.0,4
188,10.0,1
188,15.0,0
188,20.0,0
188,25.0,0
188,30.0,0
188,35.0,0
188,40.0,0
200,0.0,0
200,5.0,6
200,10.0,11
200,15.0,11
200,20.0,8
200,25.0,2
200,30.0,1
200,35.0,1
200,40.0,0
210,0.0,0
210,5.0,5
210,10.0,7
210,15.0,4
210,20.0,2
210,25.0,2
210,30.0,2
210,35.0,1
210,40.0,0
233,0.0,0
233,5.0,2
233,10.0,1
233,15.0,0
233,20.0,0
233,25.0,0
233,30.0,0
233,35.0,0
233,40.0,0
234,0.0,0
234,5.0,6
234,10.0,5
234,15.0,7
234,20.0,4
234,25.0,0
234,30.0,0
234,35.0,0
234,40.0,0
241,0.0,0
241,5.0,5
241,10.0,5
241,15.0,5
241,20.0,2
241,25.0,1
241,30.0,0
241,35.0,0
241,40.0,0
258,0.0,0
258,5.0,3
258,10.0,3
258,15.0,2
258,20.0,0
258,25.0,0
258,30.0,0
258,35.0,0
258,40.0,0
276,0.0,0
276,5.0,4
276,10.0,5
276,15.0,1
276,20.0,0
276,25.0,0
276,30.0,0
276,35.0,0
276,40.0,0
292,0.0,0
292,5.0,2
292,10.0,3
292,15.0,1
292,20.0,0
292,25.0,0
292,30.0,0
292,35.0,0
292,40.0,0
