label,radius_um,intersections
32,0.0,0
32,5.0,0
32,10.0,0
32,15.0,0
32,20.0,0
32,25.0,0
32,30.0,0
32,35.0,0
32,40.0,0
32,45.0,0
32,50.0,0
32,55.0,0
32,60.0,0
32,65.0,0
32,70.0,0
32,75.0,0
32,80.0,0
61,0.0,0
61,5.0,1
61,10.0,0
61,15.0,0
61,20.0,0
61,25.0,0
61,30.0,0
61,35.0,0
61,40.0,0
61,45.0,0
61,50.0,0
61,55.0,0
61,60.0,0
61,65.0,0
61,70.0,0
61,75.0,0
61,80.0,0
74,0.0,0
74,5.0,3
74,10.0,0
74,15.0,0
74,20.0,0
74,25.0,0
74,30.0,0
74,35.0,0
74,40.0,0
74,45.0,0
74,50.0,0
74,55.0,0
74,60.0,0
74,65.0,0
74,70.0,0
74,75.0,0
74,80.0,0
88,0.0,0
88,5.0,5
88,10.0,3
88,15.0,3
88,20.0,0
88,25.0,0
88,30.0,0
88,35.0,0
88,40.0,0
88,45.0,0
88,50.0,0
88,55.0,0
88,60.0,0
88,65.0,0
88,70.0,0
88,75.0,0
88,80.0,0
103,0.0,0
103,5.0,1
103,10.0,0
103,15.0,0
103,20.0,0
103,25.0,0
103,30.0,0
103,35.0,0
103,40.0,0
103,45.0,0
103,50.0,0
103,55.0,0
103,60.0,0
103,65.0,0
103,70.0,0
103,75.0,0
103,80.0,0
115,0.0,0
115,5.0,3
115,10.0,0
115,15.0,0
115,20.0,0
115,25.0,0
115,30.0,0
115,35.0,0
115,40.0,0
115,45.0,0
115,50.0,0
115,55.0,0
115,60.0,0
115,65.0,0
115,70.0,0
115,75.0,0
115,80.0,0
133,0.0,0
133,5.0,3
133,10.0,3
133,15.0,4
133,20.0,3
133,25.0,3
133,30.0,0
133,35.0,0
133,40.0,0
133,45.0,0
133,50.0,0
133,55.0,0
133,60.0,0
133,65.0,0
133,70.0,0
133,75.0,0
133,80.0,0
137,0.0,0
137,5.0,1
137,10.0,0
137,15.0,0
137,20.0,0
137,25.0,0
137,30.0,0
137,35.0,0
137,40.0,0
137,45.0,0
137,50.0,0
137,55.0,0
137,60.0,0
137,65.0,0
137,70.0,0
137,75.0,0
137,80.0,0
138,0.0,0
138,5.0,4
138,10.0,1
138,15.0,0
138,20.0,0
138,25.0,0
138,30.0,0
138,35.0,0
138,40.0,0
138,45.0,0
138,50.0,0
138,55.0,0
138,60.0,0
138,65.0,0
138,70.0,0
138,75.0,0
138,80.0,0
144,0.0,0
144,5.0,2
144,10.0,0
144,15.0,0
144,20.0,0
144,25.0,0
144,30.0,0
144,35.0,0
144,40.0,0
144,45.0,0
144,50.0,0
144,55.0,0
144,60.0,0
144,65.0,0
144,70.0,0
144,75.0,0
144,80.0,0
