label,radius_um,intersections
31,0.0,0
31,0.5,0
31,1.0,0
31,1.5,0
31,2.0,4
31,2.5,2
31,3.0,2
31,3.5,3
31,4.0,4
31,4.5,3
31,5.0,3
31,5.5,3
31,6.0,3
31,6.5,1
31,7.0,1
31,7.5,1
31,8.0,1
31,8.5,1
31,9.0,1
31,9.5,2
31,10.0,2
31,10.5,2
31,11.0,2
31,11.5,1
31,12.0,0
31,12.5,0
31,13.0,0
31,13.5,0
31,14.0,0
31,14.5,0
31,15.0,0
31,15.5,0
31,16.0,0
31,16.5,0
31,17.0,0
31,17.5,0
31,18.0,0
31,18.5,0
31,19.0,0
31,19.5,0
31,20.0,0
31,20.5,0
31,21.0,0
31,21.5,0
31,22.0,0
31,22.5,0
31,23.0,0
31,23.5,0
31,24.0,0
31,24.5,0
31,25.0,0
33,0.0,0
33,0.5,2
33,1.0,2
33,1.5,1
33,2.0,1
33,2.5,1
33,3.0,1
33,3.5,3
33,4.0,5
33,4.5,4
33,5.0,4
33,5.5,4
33,6.0,4
33,6.5,5
33,7.0,5
33,7.5,4
33,8.0,4
33,8.5,4
33,9.0,4
33,9.5,4
33,10.0,2
33,10.5,1
33,11.0,1
33,11.5,1
33,12.0,1
33,12.5,1
33,13.0,0
33,13.5,0
33,14.0,0
33,14.5,0
33,15.0,0
33,15.5,0
33,16.0,0
33,16.5,0
33,17.0,0
33,17.5,0
33,18.0,0
33,18.5,0
33,19.0,0
33,19.5,0
33,20.0,0
33,20.5,0
33,21.0,0
33,21.5,0
33,22.0,0
33,22.5,0
33,23.0,0
33,23.5,0
33,24.0,0
33,24.5,0
33,25.0,0
41,0.0,0
41,0.5,0
41,1.0,2
41,1.5,4
41,2.0,3
41,2.5,5
41,3.0,5
41,3.5,5
41,4.0,5
41,4.5,5
41,5.0,5
41,5.5,4
41,6.0,3
41,6.5,2
41,7.0,2
41,7.5,2
41,8.0,4
41,8.5,2
41,9.0,2
41,9.5,2
41,10.0,1
41,10.5,1
41,11.0,1
41,11.5,0
41,12.0,0
41,12.5,0
41,13.0,0
41,13.5,0
41,14.0,0
41,14.5,0
41,15.0,0
41,15.5,0
41,16.0,0
41,16.5,0
41,17.0,0
41,17.5,0
41,18.0,0
41,18.5,0
41,19.0,0
41,19.5,0
41,20.0,0
41,20.5,0
41,21.0,0
41,21.5,0
41,22.0,0
41,22.5,0
41,23.0,0
41,23.5,0
41,24.0,0
41,24.5,0
41,25.0,0
44,0.0,0
44,0.5,0
44,1.0,2
44,1.5,2
44,2.0,2
44,2.5,2
44,3.0,3
44,3.5,3
44,4.0,3
44,4.5,3
44,5.0,3
44,5.5,2
44,6.0,2
44,6.5,2
44,7.0,1
44,7.5,2
44,8.0,2
44,8.5,2
44,9.0,1
44,9.5,1
44,10.0,2
44,10.5,2
44,11.0,3
44,11.5,0
44,12.0,0
44,12.5,0
44,13.0,0
44,13.5,0
44,14.0,0
44,14.5,0
44,15.0,0
44,15.5,0
44,16.0,0
44,16.5,0
44,17.0,0
44,17.5,0
44,18.0,0
44,18.5,0
44,19.0,0
44,19.5,0
44,20.0,0
44,20.5,0
44,21.0,0
44,21.5,0
44,22.0,0
44,22.5,0
44,23.0,0
44,23.5,0
