label,radius_um,intersections
4,0.0,0
4,1.0,2
4,2.0,2
4,3.0,2
4,4.0,3
4,5.0,3
4,6.0,3
4,7.0,3
4,8.0,2
4,9.0,1
4,10.0,1
4,11.0,1
4,12.0,1
4,13.0,1
4,14.0,1
4,15.0,1
4,16.0,1
4,17.0,1
4,18.0,0
4,19.0,0
4,20.0,0
4,21.0,0
4,22.0,0
4,23.0,0
4,24.0,0
4,25.0,0
5,0.0,0
5,1.0,2
5,2.0,5
5,3.0,2
5,4.0,3
5,5.0,3
5,6.0,2
5,7.0,2
5,8.0,2
5,9.0,1
5,10.0,1
5,11.0,1
5,12.0,1
5,13.0,1
5,14.0,0
5,15.0,0
5,16.0,0
5,17.0,0
5,18.0,0
5,19.0,0
5,20.0,0
5,21.0,0
5,22.0,0
5,23.0,0
5,24.0,0
5,25.0,0
7,0.0,0
7,1.0,5
7,2.0,5
7,3.0,3
7,4.0,2
7,5.0,2
7,6.0,4
7,7.0,3
7,8.0,3
7,9.0,2
7,10.0,2
7,11.0,1
7,12.0,2
7,13.0,1
7,14.0,0
7,15.0,0
7,16.0,0
7,17.0,0
7,18.0,0
7,19.0,0
7,20.0,0
7,21.0,0
7,22.0,0
7,23.0,0
7,24.0,0
7,25.0,0
10,0.0,0
10,1.0,3
10,2.0,3
10,3.0,3
10,4.0,3
10,5.0,3
10,6.0,4
10,7.0,5
10,8.0,5
10,9.0,3
10,10.0,2
10,11.0,1
10,12.0,1
10,13.0,1
10,14.0,1
10,15.0,1
10,16.0,1
10,17.0,1
10,18.0,1
10,19.0,1
10,20.0,1
10,21.0,1
10,22.0,1
10,23.0,0
10,24.0,0
10,25.0,0
31,0.0,0
31,1.0,0
31,2.0,4
31,3.0,2
31,4.0,4
31,5.0,3
31,6.0,3
31,7.0,1
31,8.0,1
31,9.0,1
31,10.0,2
31,11.0,2
31,12.0,0
31,13.0,0
31,14.0,0
31,15.0,0
31,16.0,0
31,17.0,0
31,18.0,0
31,19.0,0
31,20.0,0
31,21.0,0
31,22.0,0
31,23.0,0
31,24.0,0
31,25.0,0
33,0.0,0
33,1.0,2
33,2.0,1
33,3.0,1
33,4.0,5
33,5.0,4
33,6.0,4
33,7.0,5
33,8.0,4
33,9.0,4
33,10.0,2
33,11.0,1
33,12.0,1
33,13.0,0
33,14.0,0
33,15.0,0
33,16.0,0
33,17.0,0
33,18.0,0
33,19.0,0
33,20.0,0
33,21.0,0
33,22.0,0
33,23.0,0
33,24.0,0
33,25.0,0
41,0.0,0
41,1.0,2
41,2.0,3
41,3.0,5
41,4.0,5
41,5.0,5
41,6.0,3
41,7.0,2
41,8.0,4
41,9.0,2
41,10.0,1
41,11.0,1
41,12.0,0
41,13.0,0
41,14.0,0
41,15.0,0
41,16.0,0
41,17.0,0
41,18.0,0
41,19.0,0
41,20.0,0
41,21.0,0
41,22.0,0
41,23.0,0
41,24.0,0
41,25.0,0
44,0.0,0
44,1.0,2
44,2.0,2
44,3.0,3
44,4.0,3
44,5.0,3
44,6.0,2
44,7.0,2
44,8.0,2
44,9.0,1
44,10.0,2
44,11.0,3
44,12.0,0
44,13.0,0
44,14.0,0
44,15.0,0
44,16.0,0
44,17.0,0
44,18.0,0
44,19.0,0
44,20.0,0
44,21.0,0
44,22.0,0
44,23.0,0
44,24.0,0
44,25.0,0
46,0.0,0
46,1.0,2
46,2.0,4
46,3.0,4
46,4.0,2
46,5.0,2
46,6.0,1
46,7.0,0
46,8.0,0
46,9.0,0
46,10.0,0
46,11.0,0
46,12.0,0
46,13.0,0
46,14.0,0
46,15.0,0
46,16.0,0
46,17.0,0
46,18.0,0
46,19.0,0
46,20.0,0
46,21.0,0
46,22.0,0
46,23.0,0
46,24.0,0
46,25.0,0
47,0.0,0
47,1.0,0
47,2.0,2
47,3.0,4
47,4.0,4
47,5.0,6
47,6.0,7
47,7.0,8
47,8.0,8
47,9.0,5
47,10.0,6
47,11.0,6
47,12.0,3
47,13.0,3
47,14.0,2
47,15.0,1
47,16.0,1
47,17.0,0
47,18.0,0
47,19.0,0
47,20.0,0
47,21.0,0
47,22.0,0
47,23.0,0
47,24.0,0
47,25.0,0
52,0.0,0
52,1.0,3
52,2.0,4
52,3.0,6
52,4.0,7
52,5.0,8
52,6.0,7
52,7.0,5
52,8.0,5
52,9.0,3
52,10.0,1
52,11.0,2
52,12.0,2
52,13.0,3
52,14.0,2
52,15.0,0
52,16.0,0
52,17.0,0
52,18.0,0
52,19.0,0
52,20.0,0
52,21.0,0
52,22.0,0
52,23.0,0
52,24.0,0
52,25.0,0
54,0.0,0
54,1.0,3
54,2.0,4
54,3.0,6
54,4.0,5
