label,radius_um,intersections
26,5.0,1
26,7.0,0
26,9.0,0
26,11.0,0
26,13.0,0
26,15.0,0
26,17.0,0
26,19.0,0
26,21.0,0
26,23.0,0
26,25.0,0
26,27.0,0
26,29.0,0
26,31.0,0
26,33.0,0
26,35.0,0
26,37.0,0
26,39.0,0
26,41.0,0
26,43.0,0
26,45.0,0
26,47.0,0
26,49.0,0
27,5.0,0
27,7.0,0
27,9.0,0
27,11.0,0
27,13.0,0
27,15.0,0
27,17.0,0
27,19.0,0
27,21.0,0
27,23.0,0
27,25.0,0
27,27.0,0
27,29.0,0
27,31.0,0
27,33.0,0
27,35.0,0
27,37.0,0
27,39.0,0
27,41.0,0
27,43.0,0
27,45.0,0
27,47.0,0
27,49.0,0
44,5.0,2
44,7.0,3
44,9.0,0
44,11.0,0
44,13.0,0
44,15.0,0
44,17.0,0
44,19.0,0
44,21.0,0
44,23.0,0
44,25.0,0
44,27.0,0
44,29.0,0
44,31.0,0
44,33.0,0
44,35.0,0
44,37.0,0
44,39.0,0
44,41.0,0
44,43.0,0
44,45.0,0
44,47.0,0
44,49.0,0
111,5.0,5
111,7.0,4
111,9.0,2
111,11.0,0
111,13.0,0
111,15.0,0
111,17.0,0
111,19.0,0
111,21.0,0
111,23.0,0
111,25.0,0
111,27.0,0
111,29.0,0
111,31.0,0
111,33.0,0
111,35.0,0
111,37.0,0
111,39.0,0
111,41.0,0
111,43.0,0
111,45.0,0
111,47.0,0
111,49.0,0
124,5.0,0
124,7.0,0
124,9.0,0
124,11.0,0
124,13.0,0
124,15.0,0
124,17.0,0
124,19.0,0
124,21.0,0
124,23.0,0
124,25.0,0
124,27.0,0
124,29.0,0
124,31.0,0
124,33.0,0
124,35.0,0
124,37.0,0
124,39.0,0
124,41.0,0
124,43.0,0
124,45.0,0
124,47.0,0
124,49.0,0
133,5.0,1
133,7.0,0
133,9.0,0
133,11.0,0
133,13.0,0
133,15.0,0
133,17.0,0
133,19.0,0
133,21.0,0
133,23.0,0
133,25.0,0
133,27.0,0
133,29.0,0
133,31.0,0
133,33.0,0
133,35.0,0
133,37.0,0
133,39.0,0
133,41.0,0
133,43.0,0
133,45.0,0
133,47.0,0
133,49.0,0
136,5.0,3
136,7.0,0
136,9.0,0
136,11.0,0
136,13.0,0
136,15.0,0
136,17.0,0
136,19.0,0
136,21.0,0
136,23.0,0
136,25.0,0
136,27.0,0
136,29.0,0
136,31.0,0
136,33.0,0
136,35.0,0
136,37.0,0
136,39.0,0
136,41.0,0
136,43.0,0
136,45.0,0
136,47.0,0
136,49.0,0
137,5.0,2
137,7.0,2
137,9.0,0
137,11.0,0
137,13.0,0
137,15.0,0
137,17.0,0
137,19.0,0
137,21.0,0
137,23.0,0
137,25.0,0
137,27.0,0
137,29.0,0
137,31.0,0
137,33.0,0
137,35.0,0
137,37.0,0
137,39.0,0
137,41.0,0
137,43.0,0
137,45.0,0
137,47.0,0
137,49.0,0
138,5.0,2
138,7.0,0
138,9.0,0
138,11.0,0
138,13.0,0
138,15.0,0
138,17.0,0
138,19.0,0
138,21.0,0
138,23.0,0
138,25.0,0
138,27.0,0
138,29.0,0
138,31.0,0
138,33.0,0
138,35.0,0
138,37.0,0
138,39.0,0
138,41.0,0
138,43.0,0
138,45.0,0
138,47.0,0
138,49.0,0
140,5.0,2
140,7.0,4
140,9.0,0
140,11.0,0
140,13.0,0
140,15.0,0
140,17.0,0
140,19.0,0
140,21.0,0
140,23.0,0
140,25.0,0
140,27.0,0
140,29.0,0
140,31.0,0
140,33.0,0
140,35.0,0
140,37.0,0
140,39.0,0
140,41.0,0
140,43.0,0
140,45.0,0
140,47.0,0
140,49.0,0
141,5.0,0
141,7.0,0
141,9.0,0
141,11.0,0
141,13.0,0
141,15.0,0
141,17.0,0
141,19.0,0
141,21.0,0
141,23.0,0
141,25.0,0
141,27.0,0
141,29.0,0
141,31.0,0
141,33.0,0
141,35.0,0
141,37.0,0
141,39.0,0
141,41.0,0
141,43.0,0
141,45.0,0
141,47.0,0
141,49.0,0
142,5.0,2
142,7.0,2
142,9.0,0
142,11.0,0
142,13.0,0
142,15.0,0
142,17.0,0
142,19.0,0
142,21.0,0
142,23.0,0
142,25.0,0
142,27.0,0
142,29.0,0
142,31.0,0
142,33.0,0
142,35.0,0
142,37.0,0
142,39.0,0
142,41.0,0
142,43.0,0
142,45.0,0
142,47.0,0
142,49.0,0
145,5.0,2
145,7.0,1
145,9.0,0
145,11.0,0
145,13.0,0
145,15.0,0
145,17.0,0
145,19.0,0
145,21.0,0
145,23.0,0
145,25.0,0
145,27.0,0
145,29.0,0
145,31.0,0
145,33.0,0
145,35.0,0
145,37.0,0
145,39.0,0
145,41.0,0
145,43.0,0
145,45.0,0
145,47.0,0
145,49.0,0
146,5.0,5
146,7.0,3
146,9.0,0
146,11.0,0
146,13.0,0
146,15.0,0
146,17.0,0
146,19.0,0
146,21.0,0
146,23.0,0
146,25.0,0
146,27.0,0
146,29.0,0
146,31.0,0
146,33.0,0
146,35.0,0
146,37.0,0
146,39.0,0
146,41.0,0
146,43.0,0
146,45.0,0
146,47.0,0
146,49.0,0
149,5.0,2
149,7.0,1
149,9.0,0
149,11.0,0
149,13.0,0
149,15.0,0
149,17.0,0
149,19.0,0
149,21.0,0
149,23.0,0
149,25.0,0
149,27.0,0
149,29.0,0
149,31.0,0
149,33.0,0
149,35.0,0
149,37.0,0
149,39.0,0
149,41.0,0
149,43.0,0
149,45.0,0
149,47.0,0
149,49.0,0
150,5.0,2
150,7.0,1
150,9.0,0
150,11.0,0
150,13.0,0
150,15.0,0
150,17.0,0
150,19.0,0
150,21.0,0
150,23.0,0
150,25.0,0
150,27.0,0
150,29.0,0
150,31.0,0
150,33.0,0
150,35.0,0
150,37.0,0
150,39.0,0
150,41.0,0
150,43.0,0
150,45.0,0
150,47.0,0
150,49.0,0
152,5.0,5
152,7.0,2
152,9.0,0
152,11.0,0
152,13.0,0
152,15.0,0
152,17.0,0
152,19.0,0
152,21.0,0
152,23.0,0
152,25.0,0
152,27.0,0
152,29.0,0
152,31.0,0
152,33.0,0
152,35.0,0
152,37.0,0
152,39.0,0
152,41.0,0
152,43.0,0
152,45.0,0
152,47.0,0
152,49.0,0
156,5.0,3
156,7.0,2
156,9.0,0
156,11.0,0
156,13.0,0
